Date,Open,High,Low,Close,Volume,Adj Close
2015-01-02,10.06,10.79,9.9,10.6,404900,10.6
2015-01-05,10.72,10.96,10.4,10.72,283500,10.72
2015-01-06,10.79,11.11,9.8,10.4,324900,10.4
2015-01-07,10.5,10.75,10.11,10.43,128800,10.43
2015-01-08,10.5,10.68,10.32,10.47,95900,10.47
2015-01-09,11.02,11.26,10.61,10.95,704100,10.95
2015-01-12,11.05,11.09,10.75,10.99,233900,10.99
2015-01-13,11.0,11.09,10.65,10.85,228000,10.85
2015-01-14,10.87,11.05,10.7,11.0,234100,11.0
2015-01-15,11.08,11.08,10.26,10.5,261900,10.5
2015-01-16,10.49,10.68,10.27,10.64,97400,10.64
2015-01-20,10.69,10.8,10.34,10.71,80700,10.71
2015-01-21,10.63,11.0,10.43,10.52,139400,10.52
2015-01-22,10.55,11.03,10.27,10.94,175400,10.94
2015-01-23,10.91,11.04,10.75,10.83,169800,10.83
2015-01-26,10.89,11.05,10.63,11.03,153900,11.03
2015-01-27,10.88,11.05,10.65,11.0,125900,11.0
2015-01-28,11.01,11.222999999999999,10.34,10.42,226500,10.42
2015-01-29,10.4,10.97,10.34,10.94,77000,10.94
2015-01-30,10.84,11.05,10.69,10.79,203600,10.79
2015-02-02,10.6,11.04,10.6,10.82,130000,10.82
2015-02-03,10.84,10.91,10.47,10.79,97800,10.79
2015-02-04,10.78,10.9,10.47,10.61,112800,10.61
2015-02-05,10.734000000000002,11.09,10.71,11.0,222100,11.0
2015-02-06,10.97,11.069,10.84,10.88,58700,10.88
2015-02-09,10.9,11.17,10.86,10.96,85900,10.96
2015-02-10,11.08,11.08,10.83,10.92,89600,10.92
2015-02-11,10.92,11.05,10.73,11.02,122800,11.02
2015-02-12,11.1,11.1,10.9,10.99,127000,10.99
2015-02-13,10.97,11.06,10.69,10.96,91300,10.96
2015-02-17,10.94,11.04,10.85,11.0,138700,11.0
2015-02-18,10.8,10.97,10.59,10.87,133000,10.87
2015-02-19,10.79,10.98,10.64,10.84,70200,10.84
2015-02-20,10.88,10.95,10.66,10.91,59800,10.91
2015-02-23,10.87,10.91,10.74,10.79,62500,10.79
2015-02-24,10.76,10.89,10.64,10.72,80900,10.72
2015-02-25,10.75,10.824000000000002,10.22,10.25,204400,10.25
2015-02-26,10.2,10.4,9.96,10.16,222800,10.16
2015-02-27,10.21,10.35,10.07,10.25,54900,10.25
2015-03-02,10.11,10.36,9.89,10.0,147000,10.0
2015-03-03,10.03,10.57,10.0,10.5,121400,10.5
2015-03-04,10.54,10.65,10.27,10.38,115900,10.38
2015-03-05,10.42,10.63,10.32,10.56,132900,10.56
2015-03-06,10.49,10.59,10.22,10.33,65300,10.33
2015-03-09,10.31,10.35,9.75,10.11,103400,10.11
2015-03-10,10.07,10.13,9.77,9.87,76900,9.87
2015-03-11,9.85,10.039,9.6,9.87,113500,9.87
2015-03-12,9.86,10.13,9.71,10.03,78700,10.03
2015-03-13,10.03,10.19,9.75,9.81,58900,9.81
2015-03-16,9.89,10.0,9.5,9.55,84200,9.55
2015-03-17,9.5,9.71,9.5,9.61,42100,9.61
2015-03-18,9.65,10.61,9.65,10.18,230200,10.18
2015-03-19,10.25,10.88,10.2,10.63,251300,10.63
2015-03-20,10.7,10.85,10.364,10.49,197000,10.49
2015-03-23,10.5,10.53,10.0,10.39,150000,10.39
2015-03-24,10.25,10.74,10.08,10.12,98800,10.12
2015-03-25,10.15,10.23,9.38,9.59,168500,9.59
2015-03-26,9.5,9.56,9.0,9.3,149100,9.3
2015-03-27,10.0,10.36,9.541,10.13,374000,10.13
2015-03-30,10.22,10.362,10.04,10.25,117900,10.25
2015-03-31,10.2,10.369000000000002,9.9,10.05,121400,10.05
2015-04-01,9.9,10.14,9.75,10.11,116100,10.11
2015-04-02,10.2,10.36,10.02,10.04,88700,10.04
2015-04-06,10.03,10.4,9.82,10.37,189800,10.37
2015-04-07,10.4,11.258,10.113999999999999,10.8,349100,10.8
2015-04-08,10.42,11.05,10.42,10.91,148100,10.91
2015-04-09,10.98,10.988,10.53,10.66,93600,10.66
2015-04-10,10.75,11.0,10.614,10.93,357300,10.93
2015-04-13,11.0,11.0,10.85,10.95,186100,10.95
2015-04-14,11.15,12.43,11.01,11.96,1653200,11.96
2015-04-15,12.04,12.3,11.51,11.94,312700,11.94
2015-04-16,11.97,12.16,11.75,11.89,144600,11.89
2015-04-17,11.83,12.0,11.6,11.9,268800,11.9
2015-04-20,11.95,12.04,11.68,11.93,284400,11.93
2015-04-21,12.01,12.98,11.99,12.83,573600,12.83
2015-04-22,12.9,13.32,12.43,12.98,286800,12.98
2015-04-23,13.0,13.148,12.69,12.86,227100,12.86
2015-04-24,12.89,12.99,12.08,12.71,201200,12.71
2015-04-27,12.8,12.943,11.26,11.62,371800,11.62
2015-04-28,11.67,11.74,11.044,11.59,123100,11.59
2015-04-29,11.58,11.76,11.27,11.37,136100,11.37
2015-04-30,11.32,11.49,10.6,10.75,199100,10.75
2015-05-01,10.64,10.929,10.26,10.53,143500,10.53
2015-05-04,10.5,10.8,10.4,10.46,88100,10.46
2015-05-05,10.4,10.42,9.91,10.14,173500,10.14
2015-05-06,10.15,10.3,9.755,10.04,140900,10.04
2015-05-07,10.0,10.25,9.927999999999999,10.03,96500,10.03
2015-05-08,10.3,10.34,9.97,10.07,119500,10.07
2015-05-11,10.03,10.21,10.0,10.02,150100,10.02
2015-05-12,10.05,10.16,9.85,9.95,108700,9.95
2015-05-13,10.06,10.64,9.79,9.86,218600,9.86
2015-05-14,9.97,10.43,9.87,10.13,137600,10.13
2015-05-15,10.04,10.09,9.9,9.99,227500,9.99
2015-05-18,10.01,10.19,9.94,10.05,212700,10.05
2015-05-19,10.08,10.12,9.92,10.01,113700,10.01
2015-05-20,10.09,10.09,9.9,9.94,94800,9.94
2015-05-21,10.01,10.263,9.69,9.72,97700,9.72
2015-05-22,9.72,9.86,9.51,9.82,107600,9.82
2015-05-26,9.73,9.99,9.55,9.61,99900,9.61
2015-05-27,9.65,9.82,9.52,9.72,88100,9.72
2015-05-28,9.69,9.7,9.53,9.67,75100,9.67
2015-05-29,9.63,9.7,9.5,9.52,105200,9.52
2015-06-01,9.5,9.69,9.362,9.54,92200,9.54
2015-06-02,9.55,9.77,9.4,9.64,125000,9.64
2015-06-03,9.72,9.877,9.52,9.77,111200,9.77
2015-06-04,9.68,9.84,9.64,9.73,55800,9.73
2015-06-05,9.66,10.0,9.6,9.94,187800,9.94
2015-06-08,10.0,10.1,9.92,9.94,103100,9.94
2015-06-09,9.91,10.1,9.73,9.95,107800,9.95
2015-06-10,10.0,10.07,9.8,10.01,113600,10.01
2015-06-11,10.02,10.1,9.94,10.01,63800,10.01
2015-06-12,10.0,10.06,9.93,10.02,35200,10.02
2015-06-15,10.0,10.96,9.96,10.82,338800,10.82
2015-06-16,10.96,11.48,10.83,10.95,258200,10.95
2015-06-17,11.04,11.46,10.76,11.36,182800,11.36
2015-06-18,11.34,11.58,11.18,11.38,174800,11.38
2015-06-19,11.46,11.6,11.3,11.3,242400,11.3
2015-06-22,11.29,11.46,11.23,11.31,149600,11.31
2015-06-23,11.42,11.56,11.252,11.32,132400,11.32
2015-06-24,11.3,11.86,11.285,11.85,500100,11.85
2015-06-25,11.95,12.299000000000001,11.69,12.11,343200,12.11
2015-06-26,12.08,12.2,11.61,11.88,1564000,11.88
2015-06-29,11.94,11.99,10.87,10.98,451300,10.98
2015-06-30,11.09,12.289000000000001,10.94,12.15,383200,12.15
2015-07-01,11.66,12.82,11.66,12.56,515700,12.56
2015-07-02,12.63,12.76,12.35,12.73,154500,12.73
2015-07-06,12.64,13.05,12.33,12.79,197300,12.79
2015-07-07,12.85,12.9,12.17,12.75,328400,12.75
2015-07-08,12.49,12.83,12.42,12.61,164500,12.61
2015-07-09,12.77,12.89,12.6,12.76,88500,12.76
2015-07-10,12.96,13.63,12.9,13.28,467500,13.28
2015-07-13,13.44,13.58,13.02,13.5,438200,13.5
2015-07-14,13.61,13.807,13.41,13.73,363800,13.73
2015-07-15,13.7,14.85,13.64,14.73,475500,14.73
2015-07-16,14.94,15.63,14.73,15.48,443000,15.48
2015-07-17,15.65,15.892000000000001,15.01,15.66,300200,15.66
2015-07-20,15.88,15.88,15.02,15.47,269500,15.47
2015-07-21,15.33,15.96,15.09,15.79,242300,15.79
2015-07-22,15.53,16.07,15.03,15.84,448300,15.84
2015-07-23,19.469998999999998,21.709999,18.049999,18.99,3429200,18.99
2015-07-24,19.25,21.0,18.65,20.43,877700,20.43
2015-07-27,20.08,20.164,18.940001000000002,19.780001000000002,401600,19.780001000000002
2015-07-28,19.450001,19.84,18.799999,19.309998999999998,405900,19.309998999999998
2015-07-29,19.25,19.35,18.59,19.299999,471000,19.299999
2015-07-30,19.1,19.629998999999998,18.58,19.5,3256300,19.5
2015-07-31,19.5,21.309998999999998,19.23,21.309998999999998,842600,21.309998999999998
2015-08-03,21.5,22.35,20.91,21.82,672600,21.82
2015-08-04,21.92,23.030001000000002,21.540001,22.120001000000002,479200,22.120001000000002
2015-08-05,22.48,23.393,22.280001000000002,22.92,421400,22.92
2015-08-06,23.030001000000002,23.23,21.51,22.16,675700,22.16
2015-08-07,22.17,22.604,20.629998999999998,21.389999,928000,21.389999
2015-08-10,21.5,22.5,21.389999,22.389999,292900,22.389999
2015-08-11,22.360001,22.68,21.040001,22.24,489900,22.24
2015-08-12,22.0,22.99,21.34,22.690001000000002,438200,22.690001000000002
2015-08-13,22.860001,23.613001,21.924999,22.0,452300,22.0
2015-08-14,22.0,22.280001000000002,21.5,21.91,234700,21.91
2015-08-17,21.969998999999998,22.190001000000002,21.700001,21.99,423300,21.99
2015-08-18,22.02,22.35,21.41,21.530001000000002,193400,21.530001000000002
2015-08-19,21.4,21.93,21.02,21.450001,166600,21.450001
2015-08-20,21.57,22.02,20.959999,21.040001,329800,21.040001
2015-08-21,20.52,21.528000000000002,19.889999,21.01,424500,21.01
2015-08-24,19.84,20.200001,17.003,18.83,578300,18.83
2015-08-25,19.809998999999998,19.85,18.9,19.030001000000002,378300,19.030001000000002
2015-08-26,19.24,19.6,16.9,18.24,639400,18.24
2015-08-27,18.290001,19.493,18.290001,19.0,265200,19.0
2015-08-28,19.0,19.309998999999998,18.709999,19.25,167000,19.25
2015-08-31,19.16,19.85,18.82,18.959999,654800,18.959999
2015-09-01,18.459999,18.99,18.34,18.549999,202600,18.549999
2015-09-02,18.719998999999998,19.58,18.299999,19.549999,184900,19.549999
2015-09-03,19.540001,19.99,18.76,18.93,302500,18.93
2015-09-04,18.68,19.33,18.309998999999998,19.01,208100,19.01
2015-09-08,19.299999,19.66,18.969998999999998,19.290001,265100,19.290001
2015-09-09,19.370001000000002,21.594998999999998,19.354,20.030001000000002,355600,20.030001000000002
2015-09-10,19.799999,20.49,19.68,20.440001000000002,314200,20.440001000000002
2015-09-11,20.209999,21.219998999999998,20.209999,20.889999,255700,20.889999
2015-09-14,20.83,20.995001000000002,20.129998999999998,20.299999,137700,20.299999
2015-09-15,20.370001000000002,21.969998999999998,20.0,20.950001,213700,20.950001
2015-09-16,20.92,21.1,20.43,20.68,145200,20.68
2015-09-17,20.790001,21.75,20.719998999999998,21.620001000000002,207900,21.620001000000002
2015-09-18,21.23,21.92,20.9,21.690001000000002,219600,21.690001000000002
2015-09-21,21.969998999999998,22.07,19.99,20.91,367600,20.91
2015-09-22,20.65,20.790001,19.82,20.0,219300,20.0
2015-09-23,19.99,20.379998999999998,19.700001,20.200001,161800,20.200001
2015-09-24,20.07,20.629998999999998,19.4,20.030001000000002,351000,20.030001000000002
2015-09-25,20.16,20.32,15.8,16.15,785300,16.15
2015-09-28,16.16,16.309998999999998,13.61,14.01,928600,14.01
2015-09-29,13.98,14.78,12.14,12.26,621200,12.26
2015-09-30,12.57,14.43,12.55,14.29,1153300,14.29
