Date,Open,High,Low,Close,Volume,Adj Close
2012-01-03,652.94113,668.151152,652.371129,665.411118,7380500,332.373186
2012-01-04,665.031159,670.251161,660.621128,668.281154,5749400,333.80677
2012-01-05,662.131164,663.971168,656.231131,659.011109,6590300,329.176378
2012-01-06,659.151159,660.001136,649.791117,650.021102,5405900,324.685865
2012-01-09,646.501116,647.001092,621.231049,622.461047,11688800,310.919604
2012-01-10,629.751099,633.801081,616.911076,623.141078,8824000,311.259279
2012-01-11,623.501065,629.391051,621.12108,625.961061,4817800,312.667863
2012-01-12,631.221069,632.891065,626.501104,629.641069,3764400,314.506029
2012-01-13,626.261071,626.951088,621.061041,624.991068,4631800,312.18335
2012-01-17,631.98111,631.98111,625.681084,628.581079,3832800,313.976563
2012-01-18,626.631045,634.001108,622.121093,632.911098,5544000,316.13941
2012-01-19,640.99109,640.99109,631.461101,639.571112,12657800,319.46609
2012-01-20,590.531028,591.000984,581.700981,585.990995,21231800,292.702795
2012-01-23,586.000981,588.661004,583.161025,585.520977,6851300,292.468021
2012-01-24,586.321024,587.681025,578.001001,580.931014,6134400,290.175332
2012-01-25,577.511011,578.71099,566.38099,569.490997,10012700,284.461038
2012-01-26,571.980951,574.481014,564.550972,568.100977,6476500,283.766722
2012-01-27,570.780973,580.321008,569.330975,579.980993,7262000,289.700796
2012-01-30,578.050992,580.000965,573.40099,577.691005,4678400,288.556945
2012-01-31,583.001004,584.001016,575.150998,580.110995,4300700,289.765732
2012-02-01,584.940991,585.501005,579.141002,580.83097,4658700,290.12536
2012-02-02,584.871027,586.411021,582.081002,585.110998,4847400,292.263236
2012-02-03,590.66103,597.071025,588.050998,596.331016,6360700,297.867641
2012-02-06,595.011021,610.83105,594.011009,609.091029,7386700,304.241273
2012-02-07,607.151042,609.391039,603.761057,606.771021,4199700,303.082428
2012-02-08,608.641044,611.351059,604.741037,609.85107,3686400,304.620914
2012-02-09,612.021042,614.501072,609.001032,611.461028,4546300,305.425089
2012-02-10,607.881064,608.131021,604.001029,605.911058,4667700,302.652876
2012-02-13,610.50102,613.841074,610.021017,612.201036,3646100,305.794723
2012-02-14,611.541039,612.00107,604.761009,609.761073,3620900,304.575961
2012-02-15,612.931058,612.931058,602.561017,605.561056,4869900,302.47805
2012-02-16,602.821022,608.811052,597.731022,606.521064,5080700,302.957574
2012-02-17,604.971022,607.631045,602.401057,604.641054,4916400,302.018509
2012-02-21,603.871026,617.88107,602.881061,614.001035,4980100,306.693824
2012-02-22,611.961065,616.781074,606.711043,607.941041,3948700,303.666854
2012-02-23,607.001067,607.941041,600.35104,606.111023,4125300,302.752759
2012-02-24,607.351069,611.651069,605.511065,609.901062,3885600,304.645885
2012-02-27,606.591027,612.361058,605.061019,609.311028,3641300,304.351163
2012-02-28,610.001045,619.771065,607.681037,618.391032,5716400,308.886629
2012-02-29,618.601045,625.601074,615.501085,618.251043,6297200,308.816705
2012-03-01,622.261081,625.701057,618.151061,622.401069,4492000,310.889645
2012-03-02,622.001076,624.001041,620.321094,621.251082,3158300,310.315226
2012-03-05,620.431063,622.491066,611.381078,614.251053,3198400,306.818708
2012-03-06,608.051072,608.811052,593.841001,604.961036,6372500,302.17834
2012-03-07,609.051023,611.191037,605.861066,606.80104,2538400,303.097423
2012-03-08,610.04105,611.501033,606.351056,607.141056,2700900,303.267261
2012-03-09,607.951027,611.901026,600.001038,600.251057,5361100,299.825703
2012-03-12,600.001038,607.001067,599.26103,605.151016,3350400,302.273235
2012-03-13,608.751074,617.851051,605.551009,617.781087,4508300,308.581962
2012-03-14,615.001048,622.78109,613.461054,615.991074,5895700,307.687849
2012-03-15,616.60108,623.501065,614.83104,621.131066,4888300,310.255278
2012-03-16,620.891095,625.91107,620.051042,625.041059,6123800,312.208321
2012-03-19,623.121044,637.271076,621.241035,633.981075,4361800,316.673864
2012-03-20,630.921059,636.061111,627.27107,633.491085,3092400,316.429113
2012-03-21,634.611114,647.391098,632.511106,639.981091,4957600,319.670874
2012-03-22,638.501074,648.80109,631.00107,646.051131,4838400,322.702863
2012-03-23,646.601099,648.501141,640.901093,642.591122,3894800,320.974587
2012-03-26,645.001127,649.491107,639.541092,649.331085,3651900,324.341201
2012-03-27,647.031111,653.501144,644.8011,647.021125,4029400,323.187375
2012-03-28,652.031114,658.591144,651.081093,655.761114,5096700,327.553004
2012-03-29,653.441106,656.591119,644.301124,648.411083,3862900,323.88166
2012-03-30,651.751137,653.491097,641.001076,641.241108,4638700,320.300254
2012-04-02,640.77109,647.501129,634.841099,646.921081,4585400,323.137403
2012-04-03,645.411106,647.951113,638.641124,642.621081,4105000,320.989551
2012-04-04,638.451083,639.001111,631.101052,635.151095,3267300,317.258289
2012-04-05,632.241054,636.431085,628.571093,632.321064,4654700,315.844688
2012-04-09,628.481096,635.331089,625.291078,630.841109,4381600,315.105449
2012-04-10,633.521104,634.501084,624.551069,626.861091,4982500,313.117428
2012-04-11,633.971089,636.001073,631.30108,635.961067,4414300,317.662871
2012-04-12,642.35109,653.141096,640.261067,651.011129,11556300,325.180384
2012-04-13,647.55112,648.991131,623.54107,624.601061,16379700,311.988542
2012-04-16,623.001089,623.811061,601.661049,606.071018,11426700,302.732776
2012-04-17,608.561033,617.691029,607.011053,609.571032,6070400,304.481035
2012-04-18,608.051072,612.801056,602.811036,607.451052,5358900,303.422104
2012-04-19,605.691058,616.261065,599.001026,599.301036,6613800,299.351167
2012-04-20,604.251047,608.851057,595.831041,596.061026,6139700,297.73278
2012-04-23,592.901027,598.450997,590.200998,597.60102,4411900,298.502008
2012-04-24,598.241045,606.631032,597.321043,601.271042,3872600,300.335186
2012-04-25,604.001029,611.351059,602.881061,609.721068,3655800,304.555978
2012-04-26,610.911061,618.001086,609.701035,615.471065,4200600,307.428105
2012-04-27,615.021081,616.741069,610.601065,614.981076,3284900,307.183354
2012-04-30,612.991036,616.081071,600.611044,604.851067,4832600,302.12341
2012-05-01,603.791016,611.601077,600.191018,604.431041,4019600,301.913607
2012-05-02,601.201017,608.111049,600.611044,607.261072,3235000,303.327209
2012-05-03,609.621024,614.83104,608.95104,611.021029,3749900,305.205309
2012-05-04,605.921044,607.89105,596.81102,596.971042,4431300,298.187334
2012-05-07,595.001035,610.571045,595.001035,607.551034,4003800,303.472045
2012-05-08,605.531037,616.901029,600.701041,612.79107,5374600,306.089446
2012-05-09,606.821012,616.381081,601.811023,609.151067,4675000,304.271262
2012-05-10,612.961078,616.19104,610.23103,613.661081,3083200,306.524016
2012-05-11,610.351046,614.551063,604.771056,605.231027,4214400,302.3132
2012-05-14,600.781052,608.501056,600.581025,604.001029,3662400,301.698816
2012-05-15,605.351043,615.001048,603.75101,611.111026,4219900,305.250263
2012-05-16,617.961081,630.101101,615.941083,628.93108,9706300,314.151389
2012-05-17,633.8311,637.851124,621.231049,623.051081,6732700,311.214326
2012-05-18,625.101098,632.421109,596.701051,600.401031,11991700,299.900615
2012-05-21,600.511,615.691064,600.001038,614.111065,6173800,306.748784
2012-05-22,613.441081,613.811055,596.001048,600.801024,6126600,300.100412
2012-05-23,601.651001,609.601052,597.121016,609.461063,6379900,304.426106
2012-05-24,609.161053,611.921059,598.871023,603.661013,3796600,301.528978
2012-05-25,601.001051,601.731012,588.280983,591.53104,7190500,295.47005
2012-05-29,595.811007,599.131028,588.320989,594.341038,5230900,296.873645
2012-05-30,588.161028,591.901014,583.530999,588.230992,3827600,293.821674
2012-05-31,588.720982,590.001032,579.001013,580.86099,5958800,290.140354
2012-06-01,571.790972,572.650996,568.350996,570.981,6138700,285.205295
2012-06-04,570.220958,580.491016,570.011006,578.590973,4883500,289.00648
2012-06-05,575.451008,578.131003,566.470986,570.410999,4697200,284.920579
2012-06-06,576.480979,581.970971,573.611004,580.570966,4207200,289.995487
2012-06-07,587.601014,587.891038,577.251006,578.230986,3530100,288.826666
2012-06-08,575.851001,581.000978,574.580997,580.451011,2831300,289.93557
2012-06-11,584.21103,585.321011,566.690986,568.50097,5342100,283.966519
2012-06-12,569.770974,570.300969,558.580975,565.100939,6472500,282.268201
2012-06-13,561.720941,567.000982,558.680958,561.090963,3923000,280.265216
2012-06-14,561.300976,565.070981,556.520972,559.050931,4707200,279.24622
2012-06-15,560.340968,564.520952,557.090972,564.510966,6024800,281.97351
2012-06-18,562.620971,574.210962,559.250959,570.850997,5012400,285.140358
2012-06-19,573.59097,584.280993,573.120953,581.530973,4167900,290.475012
2012-06-20,579.810985,580.000965,573.510959,577.511011,4710800,288.467038
2012-06-21,579.841005,579.841005,563.730952,565.210969,4037600,282.323161
2012-06-22,568.000995,571.480976,565.820975,571.480976,4472400,285.455033
2012-06-25,567.33095,568.090991,557.350977,560.700956,3174900,280.070407
2012-06-26,562.760959,566.600989,559.480944,564.680974,2710500,282.058429
2012-06-27,567.700985,573.990963,566.020941,569.300956,3397200,284.366112
2012-06-28,565.900986,566.230954,557.210927,564.310939,3856100,281.873596
2012-06-29,574.960957,580.130967,572.201012,580.07099,5057800,289.745749
2012-07-02,581.820997,583.001004,576.501012,580.470983,3323300,289.945546
2012-07-03,580.011012,588.410986,578.001001,587.830999,2387800,293.621878
2012-07-05,588.760987,600.061016,588.540988,595.921037,4709200,297.662856
2012-07-06,592.451042,593.521019,582.82101,585.981009,4339700,292.697807
2012-07-09,584.950977,588.601027,581.250996,586.011028,3443000,292.712801
2012-07-10,590.191012,592.431009,578.741009,581.700981,3860500,290.55993
2012-07-11,576.300985,577.850965,564.940978,571.190952,7024700,285.310166
2012-07-12,567.120998,571.93096,562.090975,570.480963,4636800,284.955526
2012-07-13,572.150959,579.150988,568.550962,576.520984,3966700,287.972519
2012-07-16,576.37101,579.190993,571.780986,574.921012,2936100,287.173333
2012-07-17,578.431013,580.67101,568.400987,576.730997,3372700,288.077421
2012-07-18,576.981016,583.69102,576.130977,580.761007,3107900,290.090413
2012-07-19,586.141031,598.481016,586.000981,593.060987,9384300,296.234259
2012-07-20,608.76106,612.941044,598.181006,610.821064,12975800,305.105426
2012-07-23,600.481042,618.351088,598.251031,615.511071,7150000,307.448087
2012-07-24,615.001048,617.931061,604.341044,607.571068,4033800,303.482052
2012-07-25,608.321062,613.381043,605.371015,607.991033,3659600,303.691825
2012-07-26,615.001048,616.871071,610.031064,613.361071,3382900,306.374161
2012-07-27,618.891069,635.00106,617.501049,634.961116,7125900,317.163394
2012-07-30,636.051064,642.601108,629.501081,632.301092,4389700,315.834711
2012-07-31,628.261097,636.50111,628.221091,632.971076,3745100,316.169369
2012-08-01,637.301095,639.511073,631.38109,632.681113,3702900,316.024532
2012-08-02,625.511077,638.031118,623.411068,628.751087,3970100,314.061482
2012-08-03,640.001124,643.721076,636.141061,641.331105,3808300,320.345207
2012-08-06,639.611117,649.381138,639.22111,642.821108,3578000,321.089464
2012-08-07,641.791075,644.261119,636.47109,640.541105,3978300,319.950602
2012-08-08,639.051103,645.871138,638.501074,642.231074,2654200,320.794742
2012-08-09,644.511076,646.371113,641.521085,642.35109,2148500,320.85469
2012-08-10,638.591071,642.241121,636.131075,642.001088,2879800,320.679864
2012-08-13,647.421118,660.151111,646.681109,660.011122,6560200,329.675885
2012-08-14,659.251142,672.851145,659.001123,668.661175,7350800,333.996591
2012-08-15,670.281119,674.251151,664.101109,667.541146,4839400,333.437136
2012-08-16,667.511127,674.641158,667.081115,672.871179,3448200,336.09949
2012-08-17,674.121149,677.25119,671.701158,677.141159,4371600,338.232347
2012-08-20,675.501182,678.871194,672.661165,675.541188,3529300,337.433161
2012-08-21,673.11115,678.001184,662.171108,669.511153,4461000,334.421155
2012-08-22,667.381125,680.601168,666.701155,677.181165,3832600,338.25233
2012-08-23,674.271184,680.481152,671.001155,676.801144,3581700,338.062509
2012-08-24,675.601165,680.451194,674.081143,678.631162,2863800,338.976604
2012-08-27,662.991127,672.001168,659.241156,669.221129,5246900,334.276288
2012-08-28,665.001139,677.621163,664.741135,677.25119,4132600,338.287307
2012-08-29,677.371145,688.991156,676.151133,688.011176,6002900,343.661926
2012-08-30,684.241171,687.391184,680.181142,681.681192,3265900,340.500096
2012-08-31,684.0012,688.581177,680.041154,685.091148,4270000,342.203371
