Date,Open,High,Low,Close,Volume,Adj Close
2012-01-03,85.970001,86.669998,85.900002,86.0,20906800,74.7978
2012-01-04,85.790001,86.150002,85.099998,86.019997,16130900,74.815192
2012-01-05,85.639999,85.949997,84.919998,85.760002,17452800,74.589064
2012-01-06,85.919998,86.0,85.110001,85.120003,15942100,74.032429
2012-01-09,85.0,85.639999,84.970001,85.5,11664200,74.362929
2012-01-10,86.07,86.209999,85.379997,85.720001,13080800,74.554273
2012-01-11,85.099998,85.400002,84.470001,85.080002,14831400,73.997639
2012-01-12,84.389999,84.919998,83.940002,84.739998,17357200,73.701923
2012-01-13,84.160004,84.919998,83.82,84.879997,15551600,73.823686
2012-01-17,85.75,86.129997,85.400002,85.690002,15627900,74.528182
2012-01-18,85.300003,86.5,84.959999,86.449997,16754200,75.189181
2012-01-19,86.339996,87.239998,85.769997,87.029999,16383500,75.693633
2012-01-20,87.080002,87.489998,86.720001,87.489998,19220300,76.093713
2012-01-23,87.5,87.940002,87.029999,87.470001,15348400,76.076321
2012-01-24,87.080002,87.220001,86.660004,87.18,12363800,75.824095
2012-01-25,86.769997,87.379997,85.809998,87.220001,18202300,75.858886
2012-01-26,87.639999,87.709999,86.510002,86.769997,15658200,75.467498
2012-01-27,86.239998,86.5,85.769997,85.830002,15976700,74.649945
2012-01-30,85.269997,85.5,84.589996,85.489998,17867000,74.35423
2012-01-31,84.919998,85.339996,83.459999,83.739998,27225800,72.832181
2012-02-01,84.230003,84.559998,83.379997,83.970001,22266100,73.032225
2012-02-02,84.279999,84.339996,83.190002,83.529999,18020500,72.649536
2012-02-03,84.239998,85.0,84.050003,84.919998,16145400,73.858477
2012-02-06,84.870003,85.849998,84.489998,85.75,15000900,74.580364
2012-02-07,85.220001,86.440002,84.940002,86.339996,15818400,75.093509
2012-02-08,85.830002,86.220001,84.730003,85.32,14762600,74.612536
2012-02-09,85.330002,85.690002,84.669998,84.879997,17073400,74.227753
2012-02-10,84.019997,84.099998,83.349998,83.800003,15328900,73.283296
